user_id,utm_source,day,ad_click_timestamp,experimental_group
008b7c6c-7272-471e-b90e-930d548bd8d7,google,6 - Saturday,7:18,A
009abb94-5e14-4b6c-bb1c-4f4df7aa7557,facebook,7 - Sunday,,B
00f5d532-ed58-4570-b6d2-768df5f41aed,twitter,2 - Tuesday,,A
011adc64-0f44-4fd9-a0bb-f1506d2ad439,google,2 - Tuesday,,B
012137e6-7ae7-4649-af68-205b4702169c,facebook,7 - Sunday,,B
013b0072-7b72-40e7-b698-98b4d0c9967f,facebook,1 - Monday,,A
0153d85b-7660-4c39-92eb-1e1acd023280,google,4 - Thursday,,A
01555297-d6e6-49ae-aeba-1b196fdbb09f,google,3 - Wednesday,,A
018cea61-19ea-4119-895b-1a4309ccb148,email,1 - Monday,18:33,A
01a210c3-fde0-4e6f-8efd-4f0e38730ae6,email,2 - Tuesday,15:21,B
01adb2e7-f711-4ae4-a7c6-29f48457eea1,google,3 - Wednesday,,B
01ae0361-7d17-4760-a2c8-23977a46fb78,facebook,4 - Thursday,7:11,B
01fb228a-9d28-4cde-932c-59b933fa763b,email,7 - Sunday,,A
023598b8-09e2-40ed-9c90-34d607094ff9,google,2 - Tuesday,,B
02405d93-9c33-4034-894a-b9523956a3ad,twitter,2 - Tuesday,,A
0254b59f-082d-4a5a-913d-4f2bba267768,google,5 - Friday,,A
02d8dba0-5d12-4983-a407-63fab9757d94,google,3 - Wednesday,,B
0378e9e1-0ad8-4a26-8190-ebb3370239d3,facebook,1 - Monday,,B
041deef8-b242-4114-afd0-e584784ec9f0,google,3 - Wednesday,10:54,A
0429608e-61f3-4df0-ba45-3633029a14db,google,7 - Sunday,,B
04389894-b52c-4485-9266-435e9b9c0efd,email,1 - Monday,,B
0441f866-dd3f-422a-a36a-cdc2f034e6ef,google,7 - Sunday,11:16,A
04797f05-9cbe-48b6-8662-b9ee20828b0a,google,6 - Saturday,,B
0482e1ab-b513-4bfb-9914-9fb5ab41c915,twitter,6 - Saturday,1:20,A
04ca737b-85f4-4194-8c38-d8d363b490f7,google,2 - Tuesday,,B
056f771f-e5ba-483f-a074-db2d7b94309d,google,4 - Thursday,,A
05aec9ea-92c1-4ffc-84b5-c3864dd307e4,facebook,5 - Friday,8:46,B
05c41c49-8521-4ad0-a1b5-724e99fe46ff,facebook,7 - Sunday,,B
05d08d6d-62d5-4e28-8f10-107ae2cd03c7,facebook,2 - Tuesday,,A
05e8721a-cbb7-4c13-a115-eac7dd5ee7f6,email,5 - Friday,,B
